Date,Time,Location,Store,Address
15 May,1515h to 1710h,YWCA Fort Canning,,6 Fort Canning Road
15 May,1530h to 1735h,The Punggol Settlement,Sun Bistro,500 New Punggol Road
15 May,1540h to 2100h,Woodlands Civic Centre,Woodlands Regional Library,900 South Woodlands Drive
15 May,1600h to 2200h,KFC,,35 Jalan Mas Puteh
15 May,1730h to 1825h,Tekka Place,NTUC FairPrice,2 Serangoon Road
15 May,1740h to 1810h,ION Orchard,,2 Orchard Turn
15 May,1815h to 2020h,Changi City Point,"Saizeriya ,  Daiso",5 Changi Business Park Central 1
15 May,1825h to 2025h,The Punggol Settlement,Relax Bar,500 New Punggol Road
15 May,1930h to 2030h,The Carving Board,,252 Jurong East Street 24
15 May,1930h to 2130h,Chang Cheng HQ,,27 Woodlands Link
15 May,2050h to 2150h,Arya Samaj Building,Malabar Gold & Diamonds Pte Ltd,114 Syed Alwi Road
15 May,2210h to 2300h,SAFRA Yishun,McDonald's,60 Yishun Avenue 4
15 May,2220h to 2320h,Mustafa Centre,,145 Syed Alwi Road
15 May,2200h to 0000h,BBQ Box @ Bukit Timah,,22 Cheong Chin Nam Road
16 May,0845h to 0915h,Sheng Siong Supermarket,,52 Chin Swee Road
16 May,0915h to 0955h,Sheng Siong Supermarket,,4 Toa Payoh Lorong 7
16 May,0950h to 1030h,Great World City,MEIDI-YA Supermarket,1 Kim Seng Promenade
16 May,1000h to 2200h,KFC,,35 Jalan Mas Puteh
16 May,1015h to 1100h,Prime Supermarket,,823 Tampines Street 81
16 May,1020h to 1055h,Sheng Siong Supermarket,,154A Bukit Batok West Avenue 8
16 May,1055h to 1130h,TripleOne Somerset,FairPrice Finest,111 Somerset Road
16 May,1115h to 1215h,Snip Avenue,,156 Bukit Batok Street 11
16 May,1115h to 1245h,Causeway Point,,1 Woodlands Square
16 May,1135h to 1210h,Boon Lay Shopping Centre,NTUC FairPrice,221 Boon Lay Place
16 May,1305h to 1355h,Sim Lim Square,,1 Rochor Canal Road
16 May,1320h to 1350h,Lucky Plaza,Ayam Penyet President,304 Orchard Road
16 May,1405h to 1445h,NTUC Fairprice,,570B Woodlands Avenue 1
16 May,1415h to 1525h,Cash Converters,,710A Ang Mo Kio Avenue 8
16 May,1510h to 1540h,Lucky Plaza,Jollibee,304 Orchard Road
16 May,1520h to 1600h,Toa Payoh East Community Club,,160 Toa Payoh Lorong 6
16 May,1535h to 1620h,Toa Payoh Central,OCBC,520 Lorong 6 Toa Payoh
16 May,1745h to 1850h,Sun Plaza,,30 Sembawang Drive
16 May,2010h to 2110h,Giant,,376 Bukit Batok Street 31
16 May,2240h to 2330h,Mustafa Centre,,145 Syed Alwi Road
17 May,0730h to 2000h,Westgate,Fun Toast,3 Westgate Drive
17 May,1000h to 1130h,Kong Meng San Phor Kark See Monastery,,88 Bright Hill Road
17 May,1000h to 2200h,KFC,,35 Jalan Mas Puteh
17 May,1130h to 1830h,Golden Landmark Shopping Centre,Hijabville,390 Victoria Street
17 May,1245h to 1350h,Jurong Regional Library,,21 Jurong East Central 1
17 May,1300h to 1330h,Tiong Bahru Plaza,POSB,302 Tiong Bahru Road
17 May,1310h to 1340h,Masjid Jamae Chulia,,218 South Bridge Road
